gene_symbol,Zcchc2
parameter_id,ESLIM_008_001_017
analysis_id,6j3itm2ngf0pj5i
gene_accession_id,MGI:2444114
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Limb grasping
pvalue,0.351701
