analysis_id,ztlh0avr8ngctiz
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels
gene_accession_id,MGI:1919107
mouse_strain,C57BL
gene_symbol,Slc17a9
parameter_id,IMPC_EYE_024_001
pvalue,0.1109174
