parameter_name,Cholesterol ratio
mouse_life_stage,Early adult
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
analysis_id,69xy191nmoj4n92
pvalue,0.3963899
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
