analysis_id,l18p42x55i0350j
mouse_strain,C57BL
pvalue,0.1601635
gene_symbol,Hspa5
parameter_name,110dB startle magnitude
mouse_life_stage,E9.5
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:95835
