parameter_name,Time mobile light side
mouse_strain,C57BL
parameter_id,JAX_LDT_003_001
gene_accession_id,MGI:2446186
analysis_id,tw6uewb66ih570q
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
pvalue,0.1580898
