parameter_name,Periphery resting time
analysis_id,p9s2w144ruxs647
gene_symbol,Ola1
pvalue,1.459021
parameter_id,ESLIM_007_001_007
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
mouse_strain,C57BL
