parameter_name,Lens Opacity
gene_symbol,Mecom
mouse_life_stage,E12.5
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:95457
pvalue,0.9365097
analysis_id,p5kb3b8173g7u5n
mouse_strain,C57BL
