parameter_name,Glucose response AUC
analysis_id,8e641l644yv4761
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2422921
gene_accession_id,MGI:104805
parameter_id,ESLIM_004_001_701
gene_symbol,Snrpb2
