parameter_name,Pupil Dilation
gene_symbol,Cds2
analysis_id,59607j83bd02723
parameter_id,IMPC_EYE_013_001
gene_accession_id,MGI:1332236
mouse_strain,129SV
pvalue,0.6073545
mouse_life_stage,Early adult
