parameter_name,Body position
mouse_strain,C57BL
gene_symbol,Slc30a4
mouse_life_stage,Late adult
analysis_id,8k6oi0q8268d5en
gene_accession_id,MGI:1345282
pvalue,0.8686899
parameter_id,ESLIM_008_001_001
