parameter_name,ST
mouse_strain,C50BL
gene_accession_id,MGI:1274787
analysis_id,kd3v0yuw7dylf1d
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
gene_symbol,Trdmt1
pvalue,0.4681645
