analysis_id,4u365opx65okft0
mouse_strain,C57BL
pvalue,0.6293433
parameter_id,MGP_IMM_121_001
parameter_name,Macrophages - % of CD45+
gene_accession_id,MGI:1914561
gene_symbol,Nanp
mouse_life_stage,Early adult
