gene_symbol,Casq1
mouse_life_stage,Early adult
pvalue,0.443402
parameter_name,Lens Opacity
analysis_id,t576r7h07t7y0m8
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:1309468
