Gene_symbol,Arpc5l
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
pvalue,0.9794732
parameter_name,IgD+ mature B cell percentage
analysis_id,lhd06xn6qu841x8
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
