gene_symbol,Cldn19
pvalue,0.07238022
parameter_id,ESLIM_008_001_017
parameter_name,Limb grasping
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
analysis_id,599e0b0o8x587if
