gene_symbol,Fgb
mouse_life_stage,E12.5
pvalue,0.9957819
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_id,MGP_IMM_074_001
parameter_name,Resting CD4+ T helper cells - % of CD45+
analysis_id,xq39bh2k09j2483
