parameter_name,Percent time in dark
mouse_life_stage,Early adult
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
pvalue,0.2241274
gene_symbol,Tnfsf8
analysis_id,9ye0b70103ju566
gene_accession_id,MGI:88328
