gene_symbol,Rab13
mouse_life_stage,Early adult
parameter_name,CD11b-low cDC - % of cDC
mouse_strain,C57BL
parameter_id,MGP_IMM_067_001
gene_accession_id,MGI:1927232
pvalue,0.8394003
analysis_id,t9z66w266kk8492
