analysis_id,a1p4qk6730bha0z
parameter_id,IMPC_CSD_029_001
gene_accession_id,MGI:2446186
parameter_name,Activity (body position)
pvalue,0.6300785
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
