analysis_id,mh28m92he18j753
mouse_life_stage,Early adult
gene_symbol,Bach2
gene_accession_id,MGI:894679
parameter_id,MGP_IMM_033_001
parameter_name,Total NK cells - % of CD45+
pvalue,0
mouse_strain,C57BL
