analysis_id,g12hn6ock0f390d
pvalue,0.262468
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1888742
parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
gene_symbol,Extl1
