parameter_name,HR
gene_accession_id,MGI:2385884
pvalue,0.128546
gene_symbol,Ddx27
parameter_id,IMPC_ECG_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,707h7hjh068m5h8
