gene_symbol,Duoxa2
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:1914061
pvalue,0.7083388
parameter_id,MGP_IMM_015_001
analysis_id,s743m6937i24y37
mouse_life_stage,Early adult
mouse_strain,C57BL
