gene_symbol,Bmi1
mouse_strain,C57BL
parameter_id,IMPC_CBC_018_001
parameter_name,Glucose
pvalue,0.6423471
analysis_id,4otvjly7rsxlio3
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
