analysis_id,f73gqcrg03t66fd
gene_accession_id,MGI:1309468
gene_symbol,Casq1
parameter_id,IMPC_XRY_064_001
parameter_name,Thoracic processes
mouse_strain,C57BL
pvalue,0.1061618
mouse_life_stage,Early adult
