analysis_id,8tvi9qg2fk202kd
pvalue,0.08381564
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
mouse_strain,C57BL
parameter_id,JAX_LDT_005_001
gene_symbol,Pglyrp3
parameter_name,Time mobile dark side
