analysis_id,2rzc58t9us24asd
mouse_strain,C57BL
pvalue,0.6245493
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_016_001
parameter_name,Lens
gene_symbol,Frmpd1
