parameter_name,Center permanence time
gene_accession_id,MGI:1346344
analysis_id,d20o972yc48n5ea
pvalue,0.8504189
parameter_id,JAX_OFD_016_001
gene_symbol,Nr0b2
mouse_strain,B6J
mouse_life_stage,Early adult
