gene_symbol,Rap2b
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921262
parameter_name,Eosinophil cell count
analysis_id,8uq31013w3273rl
parameter_id,IMPC_HEM_036_001
pvalue,0.4575154
