parameter_name,Snout size
gene_accession_id,MGI:104848
mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,n8vu6hbq8a4ogst
gene_symbol,Inpp1
parameter_id,IMPC_CSD_028_001
pvalue,0.561116
