parameter_id,JAXLA_OFD_020_001
analysis_id,15083cas49648yg
mouse_strain,C57BL
pvalue,0.6956697
gene_symbol,Pum1
parameter_name,Distance travelled - total
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
