parameter_id,IMPC_FEA_106_001
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
analysis_id,29576wwek5pmm24
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
pvalue,0.6551278
mouse_life_stage,Early adult
mouse_strain,C57BL
