parameter_name,Percentage center time
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.8015093
analysis_id,3x146w9sq3q864q
gene_symbol,Orc2
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1328306
