gene_symbol,Col6a3
parameter_id,IMPC_GEL_029_001
pvalue,0.9424505
gene_accession_id,MGI:88461
analysis_id,67x69c108251o6o
mouse_strain,C57BL
parameter_name,Midbrain
mouse_life_stage,Early adult
