parameter_id,M-G-P_014_001_009
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3815471
analysis_id,gjb958amq57ao1c
gene_accession_id,MGI:1913396
parameter_name,lens
gene_symbol,Maco1
