parameter_name,Forebrain
gene_symbol,Frmpd1
analysis_id,8r8tja6m935j78q
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
parameter_id,IMPC_GEL_028_001
pvalue,0.8664407
mouse_strain,C57BL
