analysis_id,t40nr3nv2l0nifc
mouse_life_stage,Early adult
gene_accession_id,MGI:1915087
parameter_name,Eye
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_id,IMPC_EYE_001_001
pvalue,0.8411353
