parameter_id,MGP_BMI_006_001
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_accession_id,MGI:1914256
pvalue,0.4895233
mouse_life_stage,Early adult
analysis_id,ik85hwe316l79s0
gene_symbol,Cisd2
mouse_strain,C57BL
