parameter_name,B1B Cells
analysis_id,irc98bu6vlz9369
mouse_life_stage,Early adult
pvalue,0.7371948
parameter_id,IMPC_IMM_064_001
gene_symbol,Cds2
gene_accession_id,MGI:1332236
mouse_strain,C57BL
