parameter_name,Pale yolk sac
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,96gs6916qtqvjiu
pvalue,0.2446726
parameter_id,IMPC_GEL_017_002
