parameter_name,Chloride
mouse_strain,C59BL
analysis_id,a04c7a8z3385hq4
gene_symbol,Exd1
mouse_life_stage,Early adult
pvalue,0.8155054
parameter_id,HMGULA_CBC_003_001
gene_accession_id,MGI:3045306
