gene_symbol,Lrrc69
mouse_life_stage,Early adult
pvalue,0.08283649
analysis_id,2txr2e2x6728j96
mouse_strain,C57BL
parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
gene_accession_id,MGI:1920564
