parameter_name,Lymphocyte differential count
mouse_strain,C57BL
parameter_id,IMPC_HEM_031_001
pvalue,0.691816
gene_accession_id,MGI:1915033
analysis_id,n2b70q49d94y21v
mouse_life_stage,Early adult
gene_symbol,Ahctf1
