analysis_id,1h833we2txn58t7
pvalue,0.8766027
mouse_strain,C57BL
parameter_id,IMPC_CBC_004_001
mouse_life_stage,Middle aged adult
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_accession_id,MGI:2140475
gene_symbol,AU040320
