analysis_id,6pcf15r65046654
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_MLN_064_001
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
pvalue,0.2908252
mouse_strain,C57BL
