parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
analysis_id,l5y5bfjyjp71m9q
gene_accession_id,MGI:2685266
pvalue,0.737275
mouse_strain,C57BL
gene_symbol,Pglyrp3
mouse_life_stage,Early adult
