parameter_name,Basophil differential count
pvalue,0.5461181
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
gene_symbol,Trdmt1
analysis_id,k39776741j0w4x4
