gene_symbol,Ifi44
pvalue,0.6483634
mouse_strain,C57BL
analysis_id,8mc5gmp8vk000ef
parameter_name,Limb coat/hair presence
gene_accession_id,MGI:2443016
parameter_id,MGP_CSD_030_001
mouse_life_stage,Early adult
