parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
pvalue,0.6695108
analysis_id,s2wu00fm72k5670
mouse_life_stage,Early adult
mouse_strain,C57BL
