analysis_id,286yruouh0c8vrg
parameter_name,Eye
parameter_id,M-G-P_014_001_001
gene_symbol,Bpifa3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1920638
pvalue,0.6901109
