analysis_id,2820zyjhb5e2f20
gene_accession_id,MGI:1915472
parameter_id,MGP_MLN_064_001
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.2132089
mouse_strain,C57BL
gene_symbol,Tubb4b
mouse_life_stage,Early adult
