parameter_id,JAX_LDT_003_001
analysis_id,am8d002c7ey1dw3
mouse_life_stage,Early adult
parameter_name,Time mobile light side
mouse_strain,C57BL
pvalue,0.9209447
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
