analysis_id,16g94oe17689823
pvalue,0.6450825
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
