parameter_name,Vibrissae - presence
mouse_strain,C57BL
parameter_id,JAXLA_CSD_023_001
gene_accession_id,MGI:1338032
pvalue,0.2784295
analysis_id,e36t439na78n4w6
gene_symbol,Sema6c
mouse_life_stage,Early adult
