analysis_id,w43c6b4498i1x7l
parameter_id,IMPC_HEM_036_001
pvalue,0.157658
gene_accession_id,MGI:1916220
mouse_strain,C57BL
parameter_name,Eosinophil cell count
mouse_life_stage,Early adult
gene_symbol,Dcaf12
