analysis_id,6fgr9qo41e736u4
gene_accession_id,MGI:97838
parameter_id,MGP_IMM_007_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
pvalue,0.196447
gene_symbol,Eprs1
mouse_strain,C57BL
