gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_069_001
pvalue,0.5979398
parameter_name,Transitional B Cells (CD21/35 low)
analysis_id,n80t6jk936b3wy3
