analysis_id,38f78d5a145vm34
gene_accession_id,MGI:2651854
gene_symbol,Atg4c
mouse_strain,C57BL
parameter_id,IMPC_ACS_035_001
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI3
pvalue,0.1528634
