analysis_id,9lem63vavon839c
parameter_id,IMPC_EYE_068_001
mouse_strain,C57BL
parameter_name,Left total retinal thickness
pvalue,0.4715096
mouse_life_stage,Late adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
