parameter_name,Click-evoked ABR threshold
mouse_life_stage,Early adult
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
analysis_id,r050u115y3159p2
pvalue,0.1158093
