mouse_life_stage,E12.5
parameter_id,MGP_MLN_009_001
analysis_id,u6985wf8512g919
gene_symbol,Hspa5
pvalue,0.8669018
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:95835
mouse_strain,C57BL
