analysis_id,4g1d5t952tni4gq
mouse_life_stage,E12.5
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
mouse_strain,C57BL
parameter_name,Time mobile dark side
pvalue,0.9772682
parameter_id,JAX_LDT_005_001
