parameter_name,Sacral processes
mouse_strain,C57BL
pvalue,0.5821757
analysis_id,518lv11je18v595
mouse_life_stage,E12.5
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:88174
gene_symbol,Bmi1
