parameter_name,Global prepulse inhibition
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
mouse_life_stage,Early adult
analysis_id,4nv2t1d1u0e68r5
pvalue,0.9099332
